the_geom,unique_id,site_name,on_year,manufac,model,type_tower,MW_turbine,total_ht,tower_h,blade_l,rotor_dia,rotor_s_a,lat_DD,long_DD,state,county,conf_attr,conf_loc,WENDI_name,EIA_name,FAA_jdate,FAA_AGL,FAA_ORS,image_name,image_year,comments
MULTIPOINT ((-104.0678820970001 40.829479450600054)),16875,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8295,-104.0679,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007245,100,08-001426,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0565236400001 40.830580780700075)),16876,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8306,-104.0565,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001471,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0823417440001 40.83067217910004)),16877,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8307,-104.0823,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2011140,100,08-020543,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0670601740001 40.83150036030002)),16878,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8315,-104.0671,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007245,100,08-001425,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0513187200001 40.83177844330003)),16879,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8318,-104.0513,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001470,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0803868960001 40.832118663999985)),16880,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8321,-104.0804,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020121,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.06623380200013 40.83348810479998)),16881,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8335,-104.0662,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020118,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0785684620001 40.83362330600008)),16882,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8336,-104.0786,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007231,100,08-001386,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.05114247400013 40.83399800930008)),16883,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.834,-104.0511,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001469,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0773289200001 40.83549374340004)),16884,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8355,-104.0773,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007231,100,08-001385,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0653430130001 40.835535199599974)),16885,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8355,-104.0653,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020117,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.05098316600011 40.83656483730003)),16886,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8366,-104.051,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001468,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0969203370001 40.83723330830001)),16887,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8372,-104.0969,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020079,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0645061090001 40.83731706649997)),16888,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8373,-104.0645,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020116,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0760522840001 40.837381932700076)),16889,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8374,-104.0761,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007231,100,08-001384,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.09498243500013 40.838263483100036)),16890,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8383,-104.095,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020078,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.04760290500013 40.83848105010003)),16891,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8385,-104.0476,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001467,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0635866900001 40.83907737370009)),16892,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8391,-104.0636,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008176,100,08-020115,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.07480416200012 40.83925905619997)),16893,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8393,-104.0748,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020110,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0930720420001 40.839304207699975)),16894,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8393,-104.0931,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020077,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0911400230001 40.840328488200036)),16895,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8403,-104.0911,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020076,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0735707300001 40.84115420090005)),16896,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8412,-104.0736,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008176,100,08-020109,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0475950850001 40.84127564230005)),16897,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8413,-104.0476,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001466,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0892338980001 40.8413352011)),16898,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8413,-104.0892,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020075,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0457538300001 40.843413703900104)),16899,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8434,-104.0458,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001465,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.07289120400011 40.84359949620008)),16900,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8436,-104.0729,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020108,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0591167240001 40.84362640100001)),16901,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8436,-104.0591,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020114,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.08921025200011 40.84376572190007)),16902,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8438,-104.0892,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020074,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.04366379700012 40.84452578420003)),16903,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8445,-104.0437,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001464,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0707376570001 40.84469453940003)),16904,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8447,-104.0707,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020107,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0575259320001 40.8450177626001)),16905,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.845,-104.0575,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020113,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0326793720001 40.84500546259996)),16906,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.845,-104.0327,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007252,100,08-001432,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.04158692800011 40.84554883350003)),16907,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8455,-104.0416,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001463,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.06848792800011 40.845626036300025)),16908,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8456,-104.0685,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020106,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.1034660990001 40.84593798200003)),16909,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8459,-104.1035,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020099,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0891504630001 40.84608282680004)),16910,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8461,-104.0892,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008176,100,08-020103,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0559115410001 40.84641992520001)),16911,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8464,-104.0559,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020112,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.03944664900013 40.846593905800056)),16912,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8466,-104.0394,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001462,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0313663460001 40.846792499299994)),16913,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8468,-104.0314,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001410,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0662878240001 40.84673344100009)),16914,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8467,-104.0663,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020086,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0541193970001 40.847808364800045)),16915,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8478,-104.0541,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020111,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.1039469660001 40.848474121300086)),16916,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8485,-104.1039,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020098,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0468287360001 40.851461587900026)),16917,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8515,-104.0468,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008177,100,08-020200,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0361768990001 40.8516243601)),16918,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8516,-104.0362,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001409,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0446048280001 40.85187377020003)),16919,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8519,-104.0446,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007085,100,08-001218,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.1039497960001 40.85228009230006)),16920,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8523,-104.1039,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2012209,100,08-020097,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0735755120001 40.85232663380002)),16921,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8523,-104.0736,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008176,100,08-020102,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.03388031500012 40.85233860650005)),16922,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8523,-104.0339,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001408,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0719977240001 40.85368926980007)),16923,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8537,-104.072,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2012208,100,08-020101,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0422216000001 40.853766589300065)),16924,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8538,-104.0422,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001418,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0316882940001 40.853874034200004)),16925,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8539,-104.0317,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001407,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.1023061320001 40.8540523500001)),16926,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8541,-104.1023,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2012212,100,08-020096,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0701243880001 40.85518569210005)),16927,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8552,-104.0701,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020085,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0302822690001 40.8552787800001)),16928,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8553,-104.0303,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001406,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.04018659600013 40.85553329550005)),16929,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8555,-104.0402,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001417,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.02781631500012 40.856095302400036)),16930,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8561,-104.0278,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001405,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.10127125300009 40.85616042750002)),16931,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8562,-104.1013,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020095,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.06842753200013 40.85660089850003)),16932,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8566,-104.0684,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020084,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0260602710001 40.85732326589999)),16933,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8573,-104.0261,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001404,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.06683577100011 40.85770518430001)),16934,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8577,-104.0668,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007085,100,08-001217,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.04694377600012 40.857964204300046)),16935,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.858,-104.0469,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001449,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.09974423800011 40.85852873639998)),16936,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8585,-104.0997,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020081,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0256290400001 40.85898182170003)),16937,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.859,-104.0256,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001403,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0649601090001 40.85976526299992)),16938,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8598,-104.065,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020083,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0455975040001 40.8599587172)),16939,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.86,-104.0456,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007231,100,08-001397,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.09856912100012 40.86055609390005)),16940,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8606,-104.0986,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008056,100,08-020105,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0248377290001 40.8612331831001)),16941,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8612,-104.0248,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001402,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0638685080001 40.86157767470004)),16942,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8616,-104.0639,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020082,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0452741800001 40.862203443900036)),16943,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8622,-104.0453,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007231,100,08-001396,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0241350080001 40.86288805790004)),16944,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8629,-104.0241,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001401,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0442370660001 40.86412006529999)),16945,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8641,-104.0442,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007231,100,08-001395,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0237468220001 40.864506773600084)),16946,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8645,-104.0237,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001400,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0832464030001 40.864876321600086)),16947,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8649,-104.0832,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008126,100,08-020163,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0969048990001 40.864941966700066)),16948,Cedar Creek 1,2006,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,40.8649,-104.0969,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2011057,119,08-020542,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0421312000001 40.86513863830003)),16949,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8651,-104.0421,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007231,100,08-001394,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0619678950001 40.865547832599965)),16950,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8655,-104.062,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020080,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.09298630700013 40.866030770499975)),16951,Cedar Creek 1,2006,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,40.866,-104.093,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2011057,119,08-020541,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0398384540001 40.866138899600045)),16952,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8661,-104.0398,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007231,100,08-001393,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0216320840001 40.86632750610001)),16953,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8663,-104.0216,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001399,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0816397630001 40.86659878840005)),16954,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8666,-104.0816,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008126,100,08-020162,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0203557980001 40.86748887500009)),16955,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8675,-104.0204,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007238,100,08-001398,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.06103336200012 40.867565525799996)),16956,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8676,-104.061,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008042,100,08-020104,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0386883110001 40.868064635400096)),16957,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8681,-104.0387,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007294,100,08-001392,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0801511110001 40.8683803476)),16958,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8684,-104.0802,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008126,100,08-020164,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0193238260001 40.86915850600008)),16959,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8692,-104.0193,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007287,100,08-001461,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.06008512900013 40.8695595713001)),16960,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8696,-104.0601,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008039,100,08-020100,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0373767810001 40.86975658340005)),16961,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8698,-104.0374,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007231,100,08-001391,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0916264990001 40.870012992600074)),16962,Cedar Creek 1,2006,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,40.87,-104.0916,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007154,119,08-001321,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0785528720001 40.87006846249996)),16963,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8701,-104.0786,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2008176,100,08-020165,Bing Maps Aerial,unknown,
MULTIPOINT ((-103.8533511330001 40.87014612350004)),16964,Cedar Creek 2,2011,Nordex,N90,monopole,2.5,125,80,45,90,6361.72,40.8701,-103.8534,CO,Weld,2,2,Cedar Creek II (Nordex),Cedar Creek Wind,2011125,125,08-020496,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0188548890001 40.87105071640001)),16965,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8711,-104.0189,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,2007252,100,08-001431,Bing Maps Aerial,unknown,
